v(V),z(Ohms),phi(º),cs(Farads)
0.000,4.17752e+04,-9.49652e+01,3.82415e-11
2.000,4.95971e+04,-9.54386e+01,3.22347e-11
4.000,5.57650e+04,-9.58358e+01,2.86890e-11
6.000,6.11212e+04,-9.61442e+01,2.61897e-11
8.000,6.69074e+04,-9.23034e+01,2.38066e-11
10.000,7.17400e+04,-9.25859e+01,2.22076e-11
12.000,7.65278e+04,-9.28432e+01,2.08227e-11
14.000,8.12530e+04,-9.31153e+01,1.96166e-11
16.000,8.61483e+04,-9.34436e+01,1.85080e-11
18.000,9.12174e+04,-9.36967e+01,1.74843e-11
20.000,9.67687e+04,-9.40334e+01,1.64878e-11
22.000,1.02382e+05,-9.43430e+01,1.55900e-11
24.000,1.08450e+05,-9.47062e+01,1.47251e-11
26.000,1.15096e+05,-9.51086e+01,1.38832e-11
28.000,1.22801e+05,-9.54850e+01,1.30200e-11
30.000,1.31661e+05,-9.60116e+01,1.21551e-11
32.000,1.42559e+05,-9.66514e+01,1.12398e-11
34.000,1.57034e+05,-9.75192e+01,1.02230e-11
36.000,1.77833e+05,-9.84252e+01,9.04741e-12
38.000,2.10200e+05,-1.00314e+02,7.69598e-12
40.000,2.60943e+05,-1.03035e+02,6.26056e-12
42.000,3.56140e+05,-1.07368e+02,4.68245e-12
44.000,5.57180e+05,-1.16386e+02,3.18869e-12
46.000,8.62645e+05,-1.30268e+02,2.41808e-12
48.000,1.00105e+06,-1.36144e+02,2.29540e-12
50.000,1.05310e+06,-1.38689e+02,2.28962e-12
52.000,1.10358e+06,-1.40529e+02,2.26915e-12
54.000,1.17400e+06,-1.42514e+02,2.22872e-12
56.000,1.24999e+06,-1.46291e+02,2.29589e-12
58.000,1.37335e+06,-1.50013e+02,2.32144e-12
60.000,1.59856e+06,-1.58029e+02,2.66732e-12
62.000,1.99484e+06,-1.72396e+02,6.08167e-12
64.000,2.22501e+06,1.74519e+02,-9.14613e-12
66.000,2.33637e+06,1.73157e+02,-6.00735e-12
68.000,2.31533e+06,1.71682e+02,-4.79360e-12
70.000,2.38875e+06,1.70743e+02,-4.21706e-12
72.000,2.39804e+06,1.70867e+02,-4.35665e-12
74.000,2.47485e+06,1.71067e+02,-4.45461e-12
76.000,2.39434e+06,1.71231e+02,-4.57378e-12
78.000,2.39926e+06,1.69517e+02,-3.65116e-12
80.000,2.40070e+06,1.69383e+02,-3.61279e-12
82.000,2.42077e+06,1.69292e+02,-3.54250e-12
84.000,2.46163e+06,1.67412e+02,-3.24848e-12
86.000,2.42733e+06,1.68191e+02,-3.23372e-12
88.000,2.54694e+06,1.68174e+02,-3.06548e-12
90.000,2.52781e+06,1.67947e+02,-3.03090e-12
92.000,2.51036e+06,1.68134e+02,-3.12581e-12
94.000,2.51914e+06,1.66005e+02,-2.63577e-12
96.000,2.65665e+06,1.64208e+02,-2.22359e-12
98.000,2.53447e+06,1.64085e+02,-2.30326e-12
100.000,2.62450e+06,1.63602e+02,-2.17124e-12
102.000,2.67142e+06,1.62491e+02,-1.99004e-12
104.000,2.67819e+06,1.63125e+02,-2.09199e-12
106.000,2.69789e+06,1.60471e+02,-1.77092e-12
108.000,2.63870e+06,1.59361e+02,-1.73655e-12
110.000,2.65612e+06,1.59275e+02,-1.70163e-12
112.000,2.75056e+06,1.54404e+02,-1.34008e-12
114.000,2.78711e+06,1.54368e+02,-1.33040e-12
116.000,2.81928e+06,1.53428e+02,-1.27101e-12
118.000,2.88630e+06,1.50564e+02,-1.12314e-12
120.000,2.91841e+06,1.51761e+02,-1.15790e-12
122.000,2.80158e+06,1.50284e+02,-1.14892e-12
124.000,2.85262e+06,1.47068e+02,-1.02708e-12
126.000,2.90053e+06,1.46639e+02,-1.00384e-12
128.000,2.97304e+06,1.45296e+02,-9.42884e-13
130.000,2.95025e+06,1.45446e+02,-9.52374e-13
132.000,3.03974e+06,1.43126e+02,-8.73805e-13
134.000,2.89445e+06,1.44033e+02,-9.37111e-13
136.000,2.98913e+06,1.43506e+02,-8.97551e-13
138.000,3.05134e+06,1.40145e+02,-8.15943e-13
140.000,3.02977e+06,1.41001e+02,-8.37243e-13
142.000,2.96782e+06,1.40222e+02,-8.38539e-13
144.000,3.07816e+06,1.39399e+02,-7.99729e-13
146.000,3.04212e+06,1.37946e+02,-7.82991e-13
148.000,3.09713e+06,1.36482e+02,-7.46881e-13
150.000,3.16558e+06,1.40223e+02,-7.86911e-13
152.000,3.31425e+06,1.38571e+02,-7.30960e-13
154.000,3.24060e+06,1.37306e+02,-7.24732e-13
156.000,3.34427e+06,1.38799e+02,-7.25595e-13
158.000,3.27439e+06,1.39754e+02,-7.54643e-13
160.000,3.33147e+06,1.36298e+02,-6.93003e-13
162.000,3.40061e+06,1.37567e+02,-6.94608e-13
164.000,3.43517e+06,1.36904e+02,-6.79425e-13
166.000,3.40731e+06,1.38084e+02,-7.02490e-13
168.000,3.41757e+06,1.39297e+02,-7.18142e-13
170.000,3.45469e+06,1.36583e+02,-6.70394e-13
172.000,3.43018e+06,1.39483e+02,-7.14807e-13
174.000,3.35918e+06,1.40364e+02,-7.47877e-13
176.000,3.40411e+06,1.38717e+02,-7.15735e-13
178.000,3.41719e+06,1.39300e+02,-7.14813e-13
180.000,3.43831e+06,1.39732e+02,-7.23010e-13
182.000,3.31725e+06,1.38747e+02,-7.33136e-13
184.000,3.44048e+06,1.39163e+02,-7.09174e-13
186.000,3.38504e+06,1.38006e+02,-7.02968e-13
188.000,3.44532e+06,1.38511e+02,-6.98883e-13
190.000,3.37851e+06,1.38591e+02,-7.14199e-13
192.000,3.39807e+06,1.37131e+02,-6.88635e-13
194.000,3.42573e+06,1.36786e+02,-6.82187e-13
196.000,3.35990e+06,1.37113e+02,-6.98822e-13
198.000,3.36711e+06,1.34904e+02,-6.68502e-13
200.000,3.34798e+06,1.37347e+02,-7.06542e-13
