v(V),z(Ohms),phi(º),cs(Farads)
0.000,5.72720e+07,-8.33937e+01,3.01688e-14
2.000,6.61986e+07,-8.75441e+01,2.51373e-14
4.000,4.98522e+07,-7.77680e+01,3.36672e-14
6.000,9.29822e+07,-8.46584e+01,2.11151e-14
8.000,7.82038e+07,-8.38128e+01,2.21425e-14
10.000,6.08535e+07,-9.72276e+01,2.68884e-14
12.000,1.11710e+08,-1.02083e+02,1.64992e-14
14.000,5.88945e+07,-9.78949e+01,3.07417e-14
16.000,7.18565e+07,-1.00826e+02,2.77155e-14
18.000,7.08520e+07,-9.43736e+01,2.45708e-14
20.000,1.19362e+08,-7.68595e+01,1.47671e-14
22.000,6.73321e+07,-8.57371e+01,2.42920e-14
24.000,8.17609e+07,-1.04217e+02,2.31683e-14
26.000,8.01881e+07,-8.57174e+01,2.17762e-14
28.000,5.63759e+07,-9.63560e+01,3.04591e-14
30.000,8.96007e+07,-7.95019e+01,1.86797e-14
32.000,7.25608e+07,-9.18856e+01,2.26422e-14
34.000,7.95621e+07,-1.04477e+02,2.23153e-14
36.000,5.27525e+07,-8.44658e+01,3.08591e-14
38.000,6.66912e+07,-1.00087e+02,2.98370e-14
40.000,8.42778e+07,-9.55782e+01,2.28644e-14
42.000,8.33552e+07,-7.94791e+01,2.68343e-14
44.000,5.52365e+07,-8.86002e+01,2.91318e-14
46.000,8.43413e+07,-9.65715e+01,2.18567e-14
48.000,8.11299e+07,-7.73662e+01,2.13238e-14
50.000,7.02250e+07,-1.04215e+02,2.60111e-14
52.000,6.34868e+07,-8.08403e+01,2.70143e-14
